filename,source_label,review_status,group_id,evidence_note
Yellow Sigatoka Disease (1).jpg,yellow-sigatoka,pending-expert,yellow-source-group-01,"Source-reported label; image-only review cannot exclude Cordana or another leaf spot."
Yellow Sigatoka Disease (2).jpg,yellow-sigatoka,pending-expert,yellow-source-group-02,"Related view; source-reported label; image-only review cannot exclude Cordana."
Yellow Sigatoka Disease (3).jpg,yellow-sigatoka,pending-expert,yellow-source-group-03,"Cordana-like oval lesions and yellow halos; retain only for exploratory source-labeled training."
Yellow Sigatoka Disease (4).jpg,yellow-sigatoka,pending-expert,yellow-source-group-04,"Source-reported label; Cordana-like symptom overlap requires expert review."
Yellow Sigatoka Disease (5).jpg,yellow-sigatoka,pending-expert,yellow-source-group-02,"Related view; source-reported label; image-only review cannot exclude Cordana."
Yellow Sigatoka Disease (6).jpg,yellow-sigatoka,pending-expert,yellow-source-group-03,"Related view of image 3; Cordana-like symptom overlap requires expert review."
Yellow Sigatoka Disease (7).jpg,yellow-sigatoka,pending-expert,yellow-source-group-05,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (8).jpg,yellow-sigatoka,pending-expert,yellow-source-group-05,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (9).jpg,yellow-sigatoka,pending-expert,yellow-source-group-06,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (10).jpg,yellow-sigatoka,pending-expert,yellow-source-group-06,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (11).jpg,yellow-sigatoka,pending-expert,yellow-source-group-05,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (12).jpg,yellow-sigatoka,pending-expert,yellow-source-group-07,"Source-reported label; Cordana-like symptom overlap requires expert review."
Yellow Sigatoka Disease (13).jpg,yellow-sigatoka,pending-expert,yellow-source-group-08,"Source-reported label; expert validation pending."
Yellow Sigatoka Disease (14).jpg,yellow-sigatoka,pending-expert,yellow-source-group-09,"Source-reported label; Cordana-like symptom overlap requires expert review."
Yellow Sigatoka Disease (15).jpg,yellow-sigatoka,pending-expert,yellow-source-group-10,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (16).jpg,yellow-sigatoka,pending-expert,yellow-source-group-11,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (17).jpg,yellow-sigatoka,pending-expert,yellow-source-group-10,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (18).jpg,yellow-sigatoka,pending-expert,yellow-source-group-11,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (19).jpg,yellow-sigatoka,pending-expert,yellow-source-group-11,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (20).jpg,yellow-sigatoka,pending-expert,yellow-source-group-12,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (21).jpg,yellow-sigatoka,pending-expert,yellow-source-group-12,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (22).jpg,yellow-sigatoka,pending-expert,yellow-source-group-11,"Related source images grouped conservatively; expert validation pending."
Yellow Sigatoka Disease (23).jpg,yellow-sigatoka,pending-expert,yellow-source-group-11,"Related source images grouped conservatively; expert validation pending."
